                                                                                           Step 
variable                                                                                      0     1     2 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.level_2_0_hole_16              6     6     6 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.level_2_1_hole_17             59    59    59 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.level_3_hole_18                5     5     5 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.out                         true  true  true 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_0_0                    1     1     1 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_1_1                    3     3     3 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_2_2                    5     5     5 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_3_3                    5     5     5 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_4_4                    4     4     4 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_5_5                    3     3     3 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_6_6                    2     2     2 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_7_7                    2     2     2 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_8_8                   51    51    51 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_9_9                    4     4     4 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_10_10                  2     2     2 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.valhole_11_11                  1     1     1 
Check_spec~3.T_node~0.level_0_1_0_hole_12                                                    10    10    10 
Check_spec~3.T_node~0.level_0_1_1_hole_13                                                     3     3     3 
Check_spec~3.T_node~0.level_1_1_0_hole_14                                                    18    18    18 
Check_spec~3.T_node~0.level_1_1_1_hole_15                                                    12    12    12 
Check_spec~3.T_node~0.level_2_0_hole_16                                                       6     6     6 
Check_spec~3.T_node~0.level_2_1_hole_17                                                      59    59    59 
Check_spec~3.T_node~0.level_3_hole_18                                                         5     5     5 
Check_spec~3.T_node~0.out                                                                 false false false 
Check_spec~3.T_node~0.p1                                                                   true  true  true 
Check_spec~3.T_node~0.threshold                                                               6     0     0 
Check_spec~3.T_node~0.valhole_0_0                                                             1     1     1 
Check_spec~3.T_node~0.valhole_1_1                                                             3     3     3 
Check_spec~3.T_node~0.valhole_2_2                                                             5     5     5 
Check_spec~3.T_node~0.valhole_3_3                                                             5     5     5 
Check_spec~3.T_node~0.valhole_4_4                                                             4     4     4 
Check_spec~3.T_node~0.valhole_5_5                                                             3     3     3 
Check_spec~3.T_node~0.valhole_6_6                                                             2     2     2 
Check_spec~3.T_node~0.valhole_7_7                                                             2     2     2 
Check_spec~3.T_node~0.valhole_8_8                                                            51    51    51 
Check_spec~3.T_node~0.valhole_9_9                                                             4     4     4 
Check_spec~3.T_node~0.valhole_10_10                                                           2     2     2 
Check_spec~3.T_node~0.valhole_11_11                                                           1     1     1 
Check_spec~3.a                                                                            false  true  true 
Check_spec~3.b                                                                            false  true  true 
Check_spec~3.c                                                                            false false false 
Check_spec~3.k                                                                                1     1     1 
Check_spec~3.level_0_1_0_hole_12                                                             10    10    10 
Check_spec~3.level_0_1_1_hole_13                                                              3     3     3 
Check_spec~3.level_1_1_0_hole_14                                                             18    18    18 
Check_spec~3.level_1_1_1_hole_15                                                             12    12    12 
Check_spec~3.level_2_0_hole_16                                                                6     6     6 
Check_spec~3.level_2_1_hole_17                                                               59    59    59 
Check_spec~3.level_3_hole_18                                                                  5     5     5 
Check_spec~3.out                                                                          false false false 
Check_spec~3.p1                                                                           false  true  true 
Check_spec~3.step                                                                             0     1     2 
Check_spec~3.stepOK                                                                        true  true  true 
Check_spec~3.threshold                                                                        6     0     0 
Check_spec~3.valhole_0_0                                                                      1     1     1 
Check_spec~3.valhole_1_1                                                                      3     3     3 
Check_spec~3.valhole_2_2                                                                      5     5     5 
Check_spec~3.valhole_3_3                                                                      5     5     5 
Check_spec~3.valhole_4_4                                                                      4     4     4 
Check_spec~3.valhole_5_5                                                                      3     3     3 
Check_spec~3.valhole_6_6                                                                      2     2     2 
Check_spec~3.valhole_7_7                                                                      2     2     2 
Check_spec~3.valhole_8_8                                                                     51    51    51 
Check_spec~3.valhole_9_9                                                                      4     4     4 
Check_spec~3.valhole_10_10                                                                    2     2     2 
Check_spec~3.valhole_11_11                                                                    1     1     1 
Check_spec~4.H_discovery~0.in                                                              true  true  true 
Check_spec~4.H_discovery~0.out                                                             true  true  true 
Check_spec~4.T_node~0.a                                                                   false  true  true 
Check_spec~4.T_node~0.b                                                                   false  true  true 
Check_spec~4.T_node~0.c                                                                   false false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.a0                         false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.a1                         false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.a2                         false false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.a3                         false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_0_0_0           false false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_0_0_1           false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_0_0_2           false false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_0_0_3           false false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_0_0_4           false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_0_0_5           false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_0_1_0           false false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_0_1_1           false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_0_2_0           false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_3_0~0.bExprlevel_1_0_0            true  true  true 
